iter	RMSE
0	7.75328275
1	7.492065718
2	7.211058645
3	6.960416213
4	6.734061676
5	6.506769598
6	6.280102611
7	6.146684758
8	5.98665009
9	5.842107938
10	5.710075069
11	5.579258161
12	5.459641899
13	5.329562858
14	5.214463723
15	5.10778927
16	5.02599306
17	4.93725409
18	4.871953717
19	4.774529915
20	4.685471654
21	4.622489348
22	4.5494539
23	4.492946337
24	4.436621656
25	4.356724609
26	4.29413385
27	4.248597639
28	4.208041913
29	4.151583585
30	4.100642663
31	4.063146839
32	4.042743504
33	4.006844339
34	3.958276318
35	3.908863005
36	3.868902663
37	3.832297308
38	3.800497958
39	3.755242553
40	3.714770813
41	3.687814223
42	3.647663602
43	3.613376629
44	3.581715868
45	3.549261571
46	3.514359939
47	3.482078236
48	3.451878785
49	3.426989947
50	3.396396848
51	3.36835698
52	3.366427664
53	3.328911657
54	3.300703592
55	3.268620514
56	3.242486583
57	3.218267438
58	3.202225273
59	3.180698857
60	3.157814999
61	3.132500833
62	3.116231516
63	3.096440871
64	3.077004691
65	3.056822875
66	3.025529965
67	3.006702662
68	2.978432063
69	2.96349301
70	2.943462615
71	2.934405331
72	2.917626506
73	2.904094443
74	2.893765532
75	2.883605894
76	2.861277459
77	2.834702794
78	2.824661622
79	2.79517129
80	2.765529553
81	2.75369644
82	2.740625585
83	2.728734724
84	2.713682556
85	2.686767347
86	2.651391349
87	2.641777952
88	2.625762617
89	2.603217901
90	2.596039068
91	2.576848718
92	2.57021136
93	2.550036958
94	2.542883991
95	2.51543294
96	2.502121881
97	2.489035791
98	2.481301071
99	2.475562942
100	2.469131931
101	2.464770196
102	2.446349048
103	2.440163654
104	2.435503678
105	2.430159056
106	2.422821884
107	2.415200982
108	2.399995243
109	2.3823404
110	2.371055858
111	2.351164185
112	2.331461578
113	2.318506889
114	2.314597509
115	2.297800278
116	2.278730356
117	2.274516832
118	2.264853731
119	2.247931789
120	2.242988783
121	2.227694583
122	2.217479587
123	2.202417958
124	2.188588138
125	2.175361592
126	2.169587112
127	2.158076845
128	2.146683105
129	2.13254249
130	2.119172729
131	2.103588431
132	2.097210716
133	2.08791682
134	2.074402246
135	2.061758043
136	2.051564183
137	2.039797863
138	2.033308422
139	2.029403259
140	2.022691911
141	2.010767517
142	2.002596314
143	1.991759979
144	1.979544314
145	1.967197209
146	1.956955656
147	1.949118742
148	1.942429296
149	1.934338708
150	1.926835704
151	1.916223809
152	1.912112183
153	1.904208689
154	1.894071359
155	1.885088448
156	1.872940788
157	1.870477253
158	1.861683881
159	1.849700324
160	1.84471654
161	1.836196435
162	1.83044057
163	1.820986212
164	1.815045467
165	1.809119009
166	1.796867812
167	1.789134757
168	1.784223089
169	1.774257257
170	1.765697961
171	1.763804182
172	1.753199966
173	1.749018662
174	1.739570355
175	1.732214201
176	1.721817724
177	1.718252454
178	1.713654646
179	1.709988214
180	1.706281678
181	1.703556467
182	1.693300324
183	1.68429474
184	1.674151995
185	1.664887692
186	1.661740522
187	1.659111204
188	1.656514445
189	1.646200526
190	1.640015416
191	1.636623426
192	1.627719355
193	1.623937326
194	1.615242002
195	1.610320643
196	1.606800045
197	1.600213436
198	1.588938555
199	1.585090181
200	1.577199934
201	1.572570599
202	1.570958497
203	1.564879878
204	1.549592411
205	1.541388576
206	1.531942709
207	1.529786719
208	1.52085981
209	1.518332995
210	1.516461048
211	1.50611951
212	1.504284777
213	1.495863981
214	1.489369048
215	1.488251709
216	1.485055866
217	1.478366094
218	1.473857293
219	1.466243205
220	1.456806645
221	1.451852502
222	1.442446452
223	1.439186413
224	1.434749468
225	1.429090394
226	1.423289467
227	1.421030638
228	1.415936461
229	1.408530514
230	1.404519462
231	1.400422142
232	1.393916969
233	1.391721773
234	1.384363785
235	1.381439193
