iter	Passed	Remaining
0	34	27246
1	68	27186
2	103	27373
3	136	27208
4	171	27255
5	206	27269
6	240	27242
7	274	27164
8	309	27209
9	343	27143
10	377	27106
11	412	27070
12	446	27005
13	481	27022
14	514	26923
15	547	26841
16	583	26882
17	617	26829
18	651	26779
19	684	26714
20	718	26664
21	751	26587
22	784	26513
23	818	26471
24	852	26441
25	887	26433
26	922	26410
27	956	26362
28	990	26345
29	1025	26319
30	1058	26248
31	1090	26179
32	1101	25608
33	1134	25566
34	1169	25562
35	1205	25579
36	1240	25572
37	1274	25548
38	1307	25522
39	1342	25509
40	1376	25490
41	1412	25486
42	1445	25456
43	1480	25435
44	1514	25416
45	1548	25384
46	1582	25346
47	1617	25345
48	1651	25307
49	1685	25284
50	1719	25252
51	1752	25211
52	1753	24720
53	1788	24702
54	1822	24684
55	1856	24671
56	1891	24650
57	1925	24628
58	1958	24596
59	1993	24581
60	2027	24563
61	2062	24545
62	2096	24524
63	2130	24506
64	2165	24484
65	2199	24464
66	2233	24433
67	2268	24414
68	2302	24391
69	2337	24376
70	2371	24350
71	2378	24052
72	2412	24023
73	2446	24003
74	2481	23985
75	2515	23960
76	2549	23938
77	2583	23915
78	2616	23877
79	2649	23849
80	2683	23816
81	2716	23783
82	2749	23748
83	2782	23721
84	2815	23684
85	2848	23650
86	2881	23616
87	2914	23584
88	2948	23551
89	2981	23518
90	3014	23490
91	3049	23469
92	3082	23437
93	3116	23407
94	3150	23378
95	3182	23341
96	3215	23307
97	3249	23274
98	3282	23241
99	3315	23207
100	3348	23176
101	3382	23145
102	3415	23110
103	3448	23079
104	3482	23053
105	3516	23023
106	3552	23009
107	3587	22984
108	3620	22953
109	3654	22925
110	3688	22893
111	3722	22864
112	3755	22830
113	3788	22796
114	3799	22629
115	3831	22591
116	3864	22561
117	3898	22532
118	3931	22498
119	3965	22470
120	3998	22438
121	4031	22406
122	4066	22379
123	4099	22350
124	4133	22320
125	4167	22293
126	4200	22257
127	4233	22223
128	4267	22195
129	4300	22165
130	4334	22137
131	4368	22107
132	4401	22074
133	4434	22037
134	4468	22012
135	4501	21978
136	4535	21951
137	4568	21916
138	4602	21886
139	4637	21862
140	4672	21836
141	4706	21810
142	4741	21786
143	4776	21757
144	4810	21730
145	4846	21709
146	4880	21679
147	4914	21648
148	4947	21617
149	4981	21585
150	5014	21550
151	5047	21519
152	5081	21487
153	5115	21456
154	5149	21428
155	5184	21400
156	5219	21374
157	5252	21343
158	5286	21314
159	5321	21284
160	5355	21255
161	5390	21227
162	5423	21196
163	5457	21165
164	5492	21137
165	5527	21110
166	5561	21081
167	5595	21049
168	5629	21019
169	5663	20986
170	5696	20953
171	5729	20920
172	5763	20888
173	5796	20854
174	5829	20820
175	5864	20791
176	5898	20760
177	5931	20726
178	5965	20694
179	5998	20662
180	6033	20635
181	6068	20606
182	6102	20574
183	6135	20539
184	6168	20504
185	6202	20473
186	6237	20446
187	6270	20412
188	6303	20378
189	6336	20344
190	6370	20312
191	6403	20278
192	6439	20251
193	6473	20219
194	6506	20187
195	6543	20163
196	6579	20138
197	6615	20114
198	6651	20088
199	6687	20063
200	6723	20037
201	6759	20010
202	6794	19981
203	6827	19948
204	6861	19914
205	6895	19882
206	6929	19851
207	6963	19818
208	6998	19788
209	7031	19754
210	7067	19728
211	7103	19701
212	7137	19670
213	7171	19638
214	7206	19608
215	7240	19577
216	7274	19544
217	7309	19514
218	7345	19486
219	7382	19462
220	7418	19435
221	7453	19406
222	7488	19376
223	7525	19350
224	7560	19321
225	7595	19290
226	7629	19258
227	7663	19224
228	7696	19192
229	7730	19157
230	7765	19127
231	7798	19093
232	7833	19061
233	7868	19031
234	7901	18998
235	7936	18965
